VARIABLE NAME,developer-friendly name,NAME OF DATA ELEMENT,SOURCE,dev-category
UNITID,id,Unit ID for institution,IPEDS,root
OPEID,ope8_id,8-digit OPE ID for institution,IPEDS,root
OPEID6,ope6_id,6-digit OPE ID for institution,IPEDS,root
INSTNM,name,Institution name,IPEDS,school
CITY,city,City,IPEDS,school
STABBR,state,State postcode,IPEDS,school
ZIP,zip,ZIP code,IPEDS,school
ACCREDAGENCY,accreditor,Accreditor for institution,FSA,school
INSTURL,school_url,URL for institution's homepage,IPEDS,school
NPCURL,price_calculator_url,URL for institution's net price calculator,IPEDS,school
SCH_DEG,degrees_awarded.predominant_recoded,Predominant degree awarded (recoded 0s and 4s),IPEDS/NSLDS,school
HCM2,under_investigation,Schools that are on Heightened Cash Monitoring 2 by the Department of Education,FSA,school
MAIN,main_campus,Flag for main campus,IPEDS,school
NUMBRANCH,branches,Number of branch campuses,IPEDS,school
PREDDEG,degrees_awarded.predominant,"Predominant undergraduate degree awarded
 0 Not classified
 1 Predominantly certificate-degree granting
 2 Predominantly associate's-degree granting
 3 Predominantly bachelor's-degree granting
 4 Entirely graduate-degree granting",IPEDS,school
HIGHDEG,degrees_awarded.highest,"Highest degree awarded
 0 Non-degree-granting
 1 Certificate degree
 2 Associate degree
 3 Bachelor's degree
 4 Graduate degree",IPEDS,school
CONTROL,ownership,Control of institution (IPEDS),IPEDS,school
ST_FIPS,state_fips,FIPS code for state,IPEDS,school
REGION,region_id,Region (IPEDS),IPEDS,school
LOCALE,locale,Locale of institution,IPEDS,school
LOCALE2,degree_urbanization,Degree of urbanization of institution,IPEDS,school
LATITUDE,location.lat,Latitude,IPEDS,root
LONGITUDE,location.lon,Longitude,IPEDS,root
CCBASIC,carnegie_basic,Carnegie Classification -- basic,IPEDS,school
CCUGPROF,carnegie_undergrad,Carnegie Classification -- undergraduate profile,IPEDS,school
CCSIZSET,carnegie_size_setting,Carnegie Classification -- size and setting,IPEDS,school
HBCU,minority_serving.historically_black,Flag for Historically Black College and University,IPEDS,school
PBI,minority_serving.predominantly_black,Flag for predominantly black institution,OPE,school
ANNHI,minority_serving.annh,Flag for Alaska Native Native Hawaiian serving institution,OPE,school
TRIBAL,minority_serving.tribal,Flag for tribal college and university,OPE,school
AANAPII,minority_serving.aanipi,Flag for Asian American Native American Pacific Islander-serving institution,OPE,school
HSI,minority_serving.hispanic,Flag for Hispanic-serving institution,OPE,school
NANTI,minority_serving.nant,Flag for Native American non-tribal institution,OPE,school
MENONLY,men_only,Flag for men-only college,IPEDS,school
WOMENONLY,women_only,Flag for women-only college,IPEDS,school
RELAFFIL,religious_affiliation,Religous affiliation of the institution,IPEDS,school
ADM_RATE,admission_rate.overall,Admission rate,IPEDS,admissions
ADM_RATE_ALL,admission_rate.by_ope_id,Admission rate for all campuses rolled up to the 6-digit OPE ID,IPEDS,admissions
SATVR25,sat_scores.25th_percentile.critical_reading,25th percentile of SAT scores at the institution (critical reading),IPEDS,admissions
SATVR75,sat_scores.75th_percentile.critical_reading,75th percentile of SAT scores at the institution (critical reading),IPEDS,admissions
SATMT25,sat_scores.25th_percentile.math,25th percentile of SAT scores at the institution (math),IPEDS,admissions
SATMT75,sat_scores.75th_percentile.math,75th percentile of SAT scores at the institution (math),IPEDS,admissions
SATWR25,sat_scores.25th_percentile.writing,25th percentile of SAT scores at the institution (writing),IPEDS,admissions
SATWR75,sat_scores.75th_percentile.writing,75th percentile of SAT scores at the institution (writing),IPEDS,admissions
SATVRMID,sat_scores.midpoint.critical_reading,Midpoint of SAT scores at the institution (critical reading),IPEDS,admissions
SATMTMID,sat_scores.midpoint.math,Midpoint of SAT scores at the institution (math),IPEDS,admissions
SATWRMID,sat_scores.midpoint.writing,Midpoint of SAT scores at the institution (writing),IPEDS,admissions
ACTCM25,act_scores.25th_percentile.cumulative,25th percentile of the ACT cumulative score,IPEDS,admissions
ACTCM75,act_scores.75th_percentile.cumulative,75th percentile of the ACT cumulative score,IPEDS,admissions
ACTEN25,act_scores.25th_percentile.english,25th percentile of the ACT English score,IPEDS,admissions
ACTEN75,act_scores.75th_percentile.english,75th percentile of the ACT English score,IPEDS,admissions
ACTMT25,act_scores.25th_percentile.math,25th percentile of the ACT math score,IPEDS,admissions
ACTMT75,act_scores.75th_percentile.math,75th percentile of the ACT math score,IPEDS,admissions
ACTWR25,act_scores.25th_percentile.writing,25th percentile of the ACT writing score,IPEDS,admissions
ACTWR75,act_scores.75th_percentile.writing,75th percentile of the ACT writing score,IPEDS,admissions
ACTCMMID,act_scores.midpoint.cumulative,Midpoint of the ACT cumulative score,IPEDS,admissions
ACTENMID,act_scores.midpoint.english,Midpoint of the ACT English score,IPEDS,admissions
ACTMTMID,act_scores.midpoint.math,Midpoint of the ACT math score,IPEDS,admissions
ACTWRMID,act_scores.midpoint.writing,Midpoint of the ACT writing score,IPEDS,admissions
SAT_AVG,sat_scores.average.overall,Average SAT equivalent score of students admitted,IPEDS,admissions
SAT_AVG_ALL,sat_scores.average.by_ope_id,Average SAT equivalent score of students admitted for all campuses rolled up to the 6-digit OPE ID,IPEDS,admissions
PCIP01,program_percentage.agriculture,"Percentage of degrees awarded in Agriculture, Agriculture Operations, And Related Sciences.",IPEDS,academics
PCIP03,program_percentage.resources,Percentage of degrees awarded in Natural Resources And Conservation.,IPEDS,academics
PCIP04,program_percentage.architecture,Percentage of degrees awarded in Architecture And Related Services.,IPEDS,academics
PCIP05,program_percentage.ethnic_cultural_gender,"Percentage of degrees awarded in Area, Ethnic, Cultural, Gender, And Group Studies.",IPEDS,academics
PCIP09,program_percentage.communication,"Percentage of degrees awarded in Communication, Journalism, And Related Programs.",IPEDS,academics
PCIP10,program_percentage.communications_technology,Percentage of degrees awarded in Communications Technologies/Technicians And Support Services.,IPEDS,academics
PCIP11,program_percentage.computer,Percentage of degrees awarded in Computer And Information Sciences And Support Services.,IPEDS,academics
PCIP12,program_percentage.personal_culinary,Percentage of degrees awarded in Personal And Culinary Services.,IPEDS,academics
PCIP13,program_percentage.education,Percentage of degrees awarded in Education.,IPEDS,academics
PCIP14,program_percentage.engineering,Percentage of degrees awarded in Engineering.,IPEDS,academics
PCIP15,program_percentage.engineering_technology,Percentage of degrees awarded in Engineering Technologies And Engineering-Related Fields.,IPEDS,academics
PCIP16,program_percentage.language,"Percentage of degrees awarded in Foreign Languages, Literatures, And Linguistics.",IPEDS,academics
PCIP19,program_percentage.family_consumer_science,Percentage of degrees awarded in Family And Consumer Sciences/Human Sciences.,IPEDS,academics
PCIP22,program_percentage.legal,Percentage of degrees awarded in Legal Professions And Studies.,IPEDS,academics
PCIP23,program_percentage.english,Percentage of degrees awarded in English Language And Literature/Letters.,IPEDS,academics
PCIP24,program_percentage.humanities,"Percentage of degrees awarded in Liberal Arts And Sciences, General Studies And Humanities.",IPEDS,academics
PCIP25,program_percentage.library,Percentage of degrees awarded in Library Science.,IPEDS,academics
PCIP26,program_percentage.biological,Percentage of degrees awarded in Biological And Biomedical Sciences.,IPEDS,academics
PCIP27,program_percentage.mathematics,Percentage of degrees awarded in Mathematics And Statistics.,IPEDS,academics
PCIP29,program_percentage.military,Percentage of degrees awarded in Military Technologies And Applied Sciences.,IPEDS,academics
PCIP30,program_percentage.multidiscipline,Percentage of degrees awarded in Multi/Interdisciplinary Studies.,IPEDS,academics
PCIP31,program_percentage.parks_recreation_fitness,"Percentage of degrees awarded in Parks, Recreation, Leisure, And Fitness Studies.",IPEDS,academics
PCIP38,program_percentage.philosophy_religious,Percentage of degrees awarded in Philosophy And Religious Studies.,IPEDS,academics
PCIP39,program_percentage.theology_religious_vocation,Percentage of degrees awarded in Theology And Religious Vocations.,IPEDS,academics
PCIP40,program_percentage.physical_science,Percentage of degrees awarded in Physical Sciences.,IPEDS,academics
PCIP41,program_percentage.science_technology,Percentage of degrees awarded in Science Technologies/Technicians.,IPEDS,academics
PCIP42,program_percentage.psychology,Percentage of degrees awarded in Psychology.,IPEDS,academics
PCIP43,program_percentage.security_law_enforcement,"Percentage of degrees awarded in Homeland Security, Law Enforcement, Firefighting And Related Protective Services.",IPEDS,academics
PCIP44,program_percentage.public_administration_social_service,Percentage of degrees awarded in Public Administration And Social Service Professions.,IPEDS,academics
