VARIABLE NAME,developer-friendly name,NAME OF DATA ELEMENT,SOURCE,dev-category
UNITID,cip_4_digit.unit_id,Unit ID for institution,IPEDS,programs
OPEID6,cip_4_digit.ope6_id,6-digit OPE ID for institution,IPEDS/PEPS,programs
INSTNM,cip_4_digit.school.name,Institution name,IPEDS/PEPS,programs
CONTROL,cip_4_digit.school.type,Control of institution,IPEDS/PEPS,programs
MAIN,cip_4_digit.school.main_campus,Flag for main campus,IPEDS/PEPS,programs
CIPCODE,cip_4_digit.code,Classification of Instructional Programs (CIP) code for the field of study,NSLDS,programs
CIPDESC,cip_4_digit.title,Text description of the field of study CIP Code,ED,programs
CREDLEV,cip_4_digit.credential.level,Level of credential,NSLDS,programs
CREDDESC,cip_4_digit.credential.title,Text description of the level of credential,NSLDS,programs
IPEDSCOUNT1,cip_4_digit.counts.ipeds_awards1,Number of awards to all students in year 1 of the pooled debt cohort,IPEDS,programs
IPEDSCOUNT2,cip_4_digit.counts.ipeds_awards2,Number of awards to all students in year 2 of the pooled debt cohort,IPEDS,programs
DEBT_ALL_PP_ANY_N,cip_4_digit.debt.parent_plus.all.all_inst.count,Student recipient count for average/median Parent PLUS loan debt disbursed at all institutions,NSLDS,programs
DEBT_ALL_PP_ANY_MEAN,cip_4_digit.debt.parent_plus.all.all_inst.average,Average Parent PLUS loan debt disbursed at all institutions,NSLDS,programs
DEBT_ALL_PP_ANY_MDN,cip_4_digit.debt.parent_plus.all.all_inst.median,Median Parent PLUS loan debt disbursed at all institutions,NSLDS,programs
DEBT_MALE_PP_ANY_N,cip_4_digit.debt.parent_plus.male.all_inst.count,Student recipient count for average/median Parent PLUS loan debt disbursed to males at all institutions,NSLDS,programs
DEBT_MALE_PP_ANY_MEAN,cip_4_digit.debt.parent_plus.male.all_inst.average,Average Parent PLUS loan debt disbursed to males at all institutions,NSLDS,programs
DEBT_MALE_PP_ANY_MDN,cip_4_digit.debt.parent_plus.male.all_inst.median,Median Parent PLUS loan debt disbursed to males at all institutions,NSLDS,programs
DEBT_NOTMALE_PP_ANY_N,cip_4_digit.debt.parent_plus.not_male.all_inst.count,Student recipient count for average/median Parent PLUS loan debt disbursed to non-males at all institutions,NSLDS,programs
DEBT_NOTMALE_PP_ANY_MEAN,cip_4_digit.debt.parent_plus.not_male.all_inst.average,Average Parent PLUS loan debt disbursed to non-males at all institutions,NSLDS,programs
DEBT_NOTMALE_PP_ANY_MDN,cip_4_digit.debt.parent_plus.not_male.all_inst.median,Median Parent PLUS loan debt disbursed to non-males at all institutions,NSLDS,programs
DEBT_PELL_PP_ANY_N,cip_4_digit.debt.parent_plus.pell.all_inst.count,Student recipient count for average/median Parent PLUS loan debt disbursed to Pell recipients at all institutions,NSLDS,programs
DEBT_PELL_PP_ANY_MEAN,cip_4_digit.debt.parent_plus.pell.all_inst.average,Average Parent PLUS loan debt disbursed to Pell recipients at all institutions,NSLDS,programs
DEBT_PELL_PP_ANY_MDN,cip_4_digit.debt.parent_plus.pell.all_inst.median,Median Parent PLUS loan debt disbursed to Pell recipients at all institutions,NSLDS,programs
DEBT_NOPELL_PP_ANY_N,cip_4_digit.debt.parent_plus.not_pell.all_inst.count,Student recipient count for average/median Parent PLUS loan debt disbursed to non-Pell-recipients at all institutions,NSLDS,programs
DEBT_NOPELL_PP_ANY_MEAN,cip_4_digit.debt.parent_plus.not_pell.all_inst.average,Average Parent PLUS loan debt disbursed to non-Pell-recipients at all institutions,NSLDS,programs
DEBT_NOPELL_PP_ANY_MDN,cip_4_digit.debt.parent_plus.not_pell.all_inst.median,Median Parent PLUS loan debt disbursed to non-Pell-recipients at all institutions,NSLDS,programs
DEBT_ALL_PP_EVAL_N,cip_4_digit.debt.parent_plus.all.eval_inst.count,Student recipient count for average/median Parent PLUS loan debt disbursed at this institution,NSLDS,programs
DEBT_ALL_PP_EVAL_MEAN,cip_4_digit.debt.parent_plus.all.eval_inst.average,Average Parent PLUS loan debt disbursed at this institution,NSLDS,programs
DEBT_ALL_PP_EVAL_MDN,cip_4_digit.debt.parent_plus.all.eval_inst.median,Median Parent PLUS loan debt disbursed at this institution,NSLDS,programs
DEBT_MALE_PP_EVAL_N,cip_4_digit.debt.parent_plus.male.eval_inst.count,Student recipient count for average/median Parent PLUS loan debt disbursed to males at this institution,NSLDS,programs
DEBT_MALE_PP_EVAL_MEAN,cip_4_digit.debt.parent_plus.male.eval_inst.average,Average Parent PLUS loan debt disbursed to males at this institution,NSLDS,programs
